Pais,turismo_rural
Portugal,100
España,21
Mozambique,8
Panamá,7
Costa Rica,7
Nicaragua,6
Paraguay,5
Perú,4
Uruguay,4
Chile,3
Argentina,3
Bolivia,3
Ecuador,3
Honduras,2
República Dominicana,2
México,2
Brasil,2
Santa Elena,
El Salvador,
Colombia,2
Suiza,1
Venezuela,1
Bélgica,<1
Francia,<1
Alemania,<1
Países Bajos,<1
Reino Unido,<1
Italia,<1
Vietnam,
Canadá,<1
Estados Unidos,<1
Rusia,
India,<1
Santo Tomé y Príncipe,
Cabo Verde,
Andorra,
Angola,
Cuba,
Gibraltar,
Timor-Leste,
Luxemburgo,
Jersey,
Aruba,
Guatemala,
Puerto Rico,
Turkmenistán,
Mauricio,
Reunión,
Palestina,
Baréin,
Etiopía,
Macedonia del Norte,
Bielorrusia,
China,
Armenia,
Camboya,
Emiratos Árabes Unidos,
Irlanda,
Austria,
Nepal,
Catar,
Ghana,
Letonia,
Georgia,
Malasia,
Egipto,
Noruega,
Túnez,
Jordania,
Chequia,
Marruecos,
Suecia,
Ucrania,
Bangladés,
Corea del Sur,
Kazajistán,
Taiwán,
Kenia,
Tailandia,
Rumanía,
Singapur,
Israel,
Grecia,
Indonesia,
Australia,
Nueva Zelanda,
Argelia,
Arabia Saudí,
Finlandia,
Dinamarca,
Hungría,
Filipinas,
Polonia,
Sudáfrica,
Irán,
Turquía,
Japón,
Afganistán,
Anguila,
Islas Aland,
Albania,
Samoa Americana,
Antártida,
Territorios Australes Franceses,
Antigua y Barbuda,
Azerbaiyán,
Burundi,
Benín,
Caribe neerlandés,
Burkina Faso,
Bulgaria,
Bahamas,
Bosnia y Herzegovina,
San Bartolomé,
Belice,
Bermudas,
Barbados,
Brunéi,
Bután,
Isla Bouvet,
Botsuana,
República Centroafricana,
Islas Cocos,
Côte d’Ivoire,
Camerún,
República Democrática del Congo,
Congo,
Islas Cook,
Comoras,
Curazao,
Isla de Navidad,
Islas Caimán,
Chipre,
Yibuti,
Dominica,
Eritrea,
Sáhara Occidental,
Estonia,
Fiyi,
Islas Malvinas (Islas Falkland),
Islas Feroe,
Micronesia,
Gabón,
Guernesey,
Guinea,
Guadalupe,
Gambia,
Guinea-Bisáu,
Guinea Ecuatorial,
Granada,
Groenlandia,
Guayana Francesa,
Guam,
Guyana,
Hong Kong,
Islas Heard y McDonald,
Croacia,
Haití,
Isla de Man,
Territorio Británico del Océano Índico,
Irak,
Islandia,
Jamaica,
Kirguistán,
Kiribati,
San Cristóbal y Nieves,
Kuwait,
Laos,
Líbano,
Liberia,
Libia,
Santa Lucía,
Liechtenstein,
Sri Lanka,
Lesoto,
Lituania,
Macao,
San Martín,
Mónaco,
Moldavia,
Madagascar,
Maldivas,
Islas Marshall,
Mali,
Malta,
Myanmar (Birmania),
Montenegro,
Mongolia,
Islas Marianas del Norte,
Mauritania,
Montserrat,
Martinica,
Malaui,
Mayotte,
Namibia,
Nueva Caledonia,
Níger,
Isla Norfolk,
Nigeria,
Niue,
Nauru,
Omán,
Pakistán,
Islas Pitcairn,
Palaos,
Papúa Nueva Guinea,
Corea del Norte,
Polinesia Francesa,
Ruanda,
Sudán,
Senegal,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
Islas Salomón,
Sierra Leona,
San Marino,
Somalia,
San Pedro y Miquelón,
Serbia,
Sudán del Sur,
Surinam,
Eslovaquia,
Eslovenia,
Esuatini,
Sint Maarten,
Seychelles,
Siria,
Islas Turcas y Caicos,
Chad,
Togo,
Tayikistán,
Tokelau,
Tonga,
Trinidad y Tobago,
Tuvalu,
Tanzania,
Uganda,
Islas menores alejadas de EE. UU.,
Uzbekistán,
Ciudad del Vaticano,
San Vicente y las Granadinas,
Islas Vírgenes Británicas,
Islas Vírgenes de EE. UU.,
Vanuatu,
Wallis y Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabue,
