Semana,Turismo_Rural
2016-02-14,57
2016-02-21,47
2016-02-28,48
2016-03-06,59
2016-03-13,50
2016-03-20,64
2016-03-27,48
2016-04-03,50
2016-04-10,45
2016-04-17,55
2016-04-24,49
2016-05-01,52
2016-05-08,57
2016-05-15,47
2016-05-22,46
2016-05-29,61
2016-06-05,62
2016-06-12,41
2016-06-19,62
2016-06-26,67
2016-07-03,69
2016-07-10,49
2016-07-17,80
2016-07-24,61
2016-07-31,67
2016-08-07,73
2016-08-14,68
2016-08-21,51
2016-08-28,53
2016-09-04,55
2016-09-11,43
2016-09-18,42
2016-09-25,45
2016-10-02,50
2016-10-09,44
2016-10-16,45
2016-10-23,49
2016-10-30,37
2016-11-06,41
2016-11-13,43
2016-11-20,41
2016-11-27,38
2016-12-04,31
2016-12-11,35
2016-12-18,28
2016-12-25,29
2017-01-01,38
2017-01-08,45
2017-01-15,30
2017-01-22,45
2017-01-29,43
2017-02-05,47
2017-02-12,38
2017-02-19,47
2017-02-26,42
2017-03-05,42
2017-03-12,50
2017-03-19,51
2017-03-26,48
2017-04-02,45
2017-04-09,57
2017-04-16,47
2017-04-23,48
2017-04-30,48
2017-05-07,42
2017-05-14,45
2017-05-21,44
2017-05-28,53
2017-06-04,46
2017-06-11,58
2017-06-18,47
2017-06-25,62
2017-07-02,54
2017-07-09,64
2017-07-16,55
2017-07-23,65
2017-07-30,63
2017-08-06,62
2017-08-13,60
2017-08-20,53
2017-08-27,55
2017-09-03,40
2017-09-10,43
2017-09-17,38
2017-09-24,44
2017-10-01,43
2017-10-08,43
2017-10-15,47
2017-10-22,37
2017-10-29,31
2017-11-05,49
2017-11-12,33
2017-11-19,35
2017-11-26,42
2017-12-03,25
2017-12-10,31
2017-12-17,21
2017-12-24,30
2017-12-31,36
2018-01-07,37
2018-01-14,34
2018-01-21,47
2018-01-28,36
2018-02-04,37
2018-02-11,32
2018-02-18,44
2018-02-25,41
2018-03-04,24
2018-03-11,37
2018-03-18,32
2018-03-25,42
2018-04-01,39
2018-04-08,43
2018-04-15,42
2018-04-22,40
2018-04-29,33
2018-05-06,40
2018-05-13,38
2018-05-20,40
2018-05-27,46
2018-06-03,50
2018-06-10,45
2018-06-17,35
2018-06-24,40
2018-07-01,49
2018-07-08,45
2018-07-15,54
2018-07-22,41
2018-07-29,67
2018-08-05,52
2018-08-12,53
2018-08-19,51
2018-08-26,46
2018-09-02,37
2018-09-09,45
2018-09-16,41
2018-09-23,44
2018-09-30,44
2018-10-07,44
2018-10-14,43
2018-10-21,31
2018-10-28,30
2018-11-04,48
2018-11-11,37
2018-11-18,32
2018-11-25,23
2018-12-02,28
2018-12-09,22
2018-12-16,21
2018-12-23,32
2018-12-30,24
2019-01-06,32
2019-01-13,25
2019-01-20,33
2019-01-27,35
2019-02-03,35
2019-02-10,35
2019-02-17,42
2019-02-24,33
2019-03-03,36
2019-03-10,36
2019-03-17,45
2019-03-24,55
2019-03-31,44
2019-04-07,50
2019-04-14,34
2019-04-21,33
2019-04-28,40
2019-05-05,44
2019-05-12,39
2019-05-19,36
2019-05-26,36
2019-06-02,51
2019-06-09,32
2019-06-16,48
2019-06-23,38
2019-06-30,53
2019-07-07,52
2019-07-14,45
2019-07-21,40
2019-07-28,45
2019-08-04,45
2019-08-11,56
2019-08-18,50
2019-08-25,48
2019-09-01,43
2019-09-08,42
2019-09-15,38
2019-09-22,37
2019-09-29,36
2019-10-06,37
2019-10-13,39
2019-10-20,36
2019-10-27,36
2019-11-03,28
2019-11-10,35
2019-11-17,36
2019-11-24,25
2019-12-01,30
2019-12-08,24
2019-12-15,24
2019-12-22,23
2019-12-29,28
2020-01-05,27
2020-01-12,27
2020-01-19,27
2020-01-26,36
2020-02-02,37
2020-02-09,39
2020-02-16,39
2020-02-23,42
2020-03-01,35
2020-03-08,19
2020-03-15,13
2020-03-22,17
2020-03-29,20
2020-04-05,12
2020-04-12,16
2020-04-19,16
2020-04-26,28
2020-05-03,30
2020-05-10,46
2020-05-17,68
2020-05-24,98
2020-05-31,75
2020-06-07,100
2020-06-14,76
2020-06-21,63
2020-06-28,76
2020-07-05,76
2020-07-12,81
2020-07-19,68
2020-07-26,84
2020-08-02,92
2020-08-09,83
2020-08-16,74
2020-08-23,60
2020-08-30,51
2020-09-06,52
2020-09-13,34
2020-09-20,44
2020-09-27,56
2020-10-04,43
2020-10-11,29
2020-10-18,29
2020-10-25,28
2020-11-01,22
2020-11-08,23
2020-11-15,22
2020-11-22,29
2020-11-29,24
2020-12-06,23
2020-12-13,22
2020-12-20,11
2020-12-27,22
2021-01-03,19
2021-01-10,25
2021-01-17,25
2021-01-24,18
2021-01-31,18
2021-02-07,24
